Year,BR_per_1000,DR_per_1000,Migration,RND_ratio,GDP_per_Asset,Kospi,Patent_per_Million,LP_per_Hour,PL_ratio,LB_ratio,IAD_ratio,Emp_ratio,GNP_per_Man,GDP_per_Cab,GNI_per_Trade,GDP_per_Inv,1_IND,2_IND,3_IND,PBR_per_man,IS_ratio,CPI,CE_per_Man,WAGE_Gap,GINI,Mar_ratio,Emar_Age,WEP_2325_ratio,WEmp_ratio,HRPC_ratio,HSPC_ratio,HPBR_per_Man
1991,1.2,0,-0.7055,0.12,0,-85.19,94,736,-2.2,-1.2,-0.1,0.5,90,-1.47,-1.1,1.4,-0.9,1,-0.1,86.7,2.1,4.2,50,0.03,-0.006,0.7,0.06,0,-0.1,0.7,-0.4,70.9
1992,0.3,-0.2,-0.2948,0.09,0.2,67.52,59,634,0,-0.8,0.5,0.3,55,1.64,-1.2,-1.5,-0.2,-1.3,1.5,48.5,-1.3,3,44,0,-0.005,-0.3,0.09,-0.1,-0.2,2.8,-3,48.6
1993,-0.7,-0.2,-0.0572,0.15,0.1,187.74,121,623,0.6,-0.8,-0.3,-0.3,64,1.21,-2,0.5,-0.7,0.3,0.5,50.8,-1.3,2.5,46,0.06,0.005,-1.8,0.08,0,0,1,-1.7,48
1994,0,0.2,-0.3426,0.18,0.1,161.19,154,916,-0.8,-1.1,0.5,1,97,-1.51,1.2,1.7,-0.2,-0.2,0.3,71.6,-1.6,3.4,74,-0.16,-0.002,-0.9,0.13,1.2,1.2,1.9,-0.1,71
1995,-0.3,-0.1,0.2163,0.04,0,-144.43,674,949,-0.3,-0.7,-0.3,0.5,109,-0.77,4.2,1.4,-0.4,0.4,0,80.8,-2.5,2.6,83,0.03,0.003,-0.1,0.18,0.6,0.7,1.5,-0.1,73.1
1996,-0.7,-0.1,-0.1236,0.06,0.3,-231.72,189,815,-0.1,-0.5,-0.1,0.2,91,-2.22,0.8,0.2,-0.3,-0.6,0.9,78.8,-0.8,3,69,0.08,0.006,1.7,0.13,2.4,2.3,3,0.8,80.2
1997,-0.6,0,-0.053,0.04,0.7,-274.91,-37,932,0.1,-1.1,0.1,0.1,74,2.13,5.5,-2.7,-0.5,-0.3,0.8,28.3,-1.8,2.8,43,-0.03,0,-2.9,0.26,2.3,1.9,0.4,1.2,49.7
1998,-0.8,0,-0.3897,-0.14,0.5,186.15,-373,895,1.5,0.4,-0.4,-4.5,-96,12.54,13.5,-6.7,-0.4,-0.5,0.9,-45.1,6.7,4.9,-126,0.06,0.028,-1.2,0.31,-3,-4.6,-8.9,-7.3,24.3
1999,-0.6,0,0.7015,-0.09,-0.1,465.61,108,821,-0.7,-0.7,0.2,0.3,154,-6.24,-9.3,-0.8,0.2,-0.5,0.4,29.7,-6.6,0.6,104,0.04,0.003,-0.9,0.27,0.8,1.1,6.6,1.8,27.5
2000,0.3,0,-0.4347,0.11,0,-523.45,348,559,-0.8,0.1,-0.4,1.8,129,-2.6,6.5,1.2,-0.4,1.6,-1.3,34.3,-6.2,1.6,94,0.16,-0.022,-1.8,0.2,1.9,2.8,5.1,0.2,43.2
2001,-1.7,-0.2,0.1374,0.16,0.1,189.08,8,812,-0.1,0,-0.1,0.5,66,-1.34,-3.8,-1,-0.3,-1.3,1.5,16.3,-3.4,3,52,0.01,0.011,-0.9,0.29,1.1,1,8.3,5.3,46.7
2002,-1.4,0.1,0.0974,-0.07,0.5,-66.15,51,1186,-0.7,-0.4,-0.1,1,124,0.26,-4.6,-0.1,-0.3,-0.4,0.9,45.6,-4,2.1,91,0.03,0.002,-0.8,0.23,1.4,1.6,6,9.6,60.2
2003,0,0,-0.0041,0.08,0.1,183.16,279,1166,-1.1,-0.6,0.3,-0.7,46,0.98,3.1,0.6,-0.3,0.2,0,32.7,3.3,2.7,-14,0.08,-0.009,-0.3,0.26,0.6,0.2,-0.2,2.5,59.9
2004,-0.4,-0.1,-0.4691,0.18,-0.1,85.21,304,1110,-0.9,-0.4,-0.1,0.5,90,2.13,9.6,-0.7,0,1.4,-1.4,40.1,3.1,2.9,-6,0.02,0.007,0.2,0.25,1.9,1.8,-3.8,-1.8,69.9
2005,-0.9,0,0.0328,0.1,0.4,483.45,347,876,-0.4,-0.3,-0.5,-0.1,77,-2.47,-0.6,-0.6,-0.4,-0.5,0.9,24.7,-1.4,2.3,41,0.12,0.004,0.1,0.2,1,0.8,1.9,2.6,51
2006,0.3,0,0.2434,0.2,0.5,55.09,56,673,-0.8,0,-0.2,0,100,-1.05,2,-0.5,-0.1,-0.6,0.8,25.5,-1.1,2,39,-0.02,0.004,0.7,0.07,2.2,2.2,4.2,8.3,47.9
2007,0.8,0,-0.0791,0.17,0.5,462.67,54,1517,-1,0.5,-0.2,0.1,112,0.69,4.2,-0.1,-0.3,0.1,0.1,25.4,-1.7,2.2,48,-0.14,0.007,0.4,0.3,0.6,0.8,2.6,4.6,52.8
2008,-0.6,0,-0.3084,0.12,0.1,-772.66,-51,1556,-0.5,-0.3,-0.1,-0.3,49,-0.73,22.9,-1.2,-0.2,-0.7,0.9,12.9,0.1,4.2,7,-0.06,0.002,-0.9,0.23,0.4,0.3,2.2,5,69.8
2009,-0.4,0,-0.1555,0.17,0.4,558.3,-8,1091,-1.3,-0.4,-0.2,-0.9,6,3.41,-9.9,-0.1,0.1,0.4,-0.5,7.3,0.9,2.6,-7,-0.21,0.001,-1.1,0.39,-0.9,-1.2,2.3,1.3,42.9
2010,0.4,0.1,-0.1606,0.18,0,368.23,79,2332,-1.2,-0.3,0,0.1,145,-1.09,5.2,-0.3,-0.1,1.6,-1.4,34.2,-0.1,2.9,44,0.05,-0.006,0.6,0.2,1.6,1.7,5,1.3,74
2011,0,0,-0.156,0.27,0.3,-225.26,105,2023,-0.6,0.3,-0.1,0.4,74,-1.09,13.7,-0.8,0,0.1,-0.2,13.9,-0.7,4,23,0.03,0,0,0.23,1.1,1,9.3,5.7,71.2
2012,0.2,0.2,-0.2071,0.29,0.3,171.31,189,-500,0,0.2,-0.1,0.3,49,2.61,-0.7,-0.8,0,-0.3,0.4,16.8,0,2.3,19,-0.17,-0.004,-0.3,0.27,0.7,0.9,1.3,-1.4,50.5
2013,-1,0,-0.1993,0.12,0.1,14.29,224,1620,-0.8,0,0.1,0.1,66,2.05,-6.7,0.1,-0.2,0.3,-0.2,46,1.5,1.4,15,0.07,-0.005,-0.3,0.18,1.1,1,4.2,0.3,69.7
